city,name,address,lng,lat
成都市,成都市中西医结合医院,成都市武侯区万象北路18号,104.058206,30.596182
成都市,成都高新博力医院,成都市高新区高朋东路1号,104.047938,30.628255
成都市,成都高新普康医院,成都市高新区神仙树北路13号,104.055926,30.626769
成都市,电子科技大学医院（清水河校区）,成都高新区（西区）西源大道2006号,103.931309,30.750117
成都市,成都上锦南府医院,成都市高新区尚锦路253号,103.936519,30.787479
成都市,成都天府新区人民医院,成都市天府新区华阳街道正北上街 97号,104.063104,30.514426
成都市,四川宝石花医院,成都市天府新区华阳街道通济巷26号,104.055272,30.511515
成都市,四川省第四人民医院,成都市城守东大街57号,104.082957,30.658989
成都市,成都市第二人民医院,成都市庆云南街10号,104.093029,30.666253
成都市,成都市公共卫生临床中心,成都市锦江区静明路377号,104.147652,30.620546
成都市,成都肛肠专科医院,成都市锦江区春熙路街道办事处太升南路大墙东街152号,104.085466,30.662108
成都市,成都市锦江区妇幼保健院,成都市锦江区龙舟路街道办事处三官堂街 3号,104.100486,30.631679
成都市,成都骨科医院,成都市锦江区水井坊街道办事处均隆街 66-68号,104.095807,30.656419
成都市,成都市老年康疗院,成都市锦江区双桂路街道办事处,104.109293,30.634618
成都市,成都锦欣中医医院,成都市锦江区海椒市街6号,104.108809,30.645028
成都市,成都锦江大观医院,成都市锦江区成龙路街道办事处合欢树街 489号,104.140927,30.611385
成都市,成都东区医院,成都市锦江区成龙路街道办事处成都市经天路2号,104.10654,30.607934
成都市,成都锦欣沙河堡医院,成都市锦江区狮子山街道办事处佳宏路 29号,104.132824,30.623704
成都市,四川电力医院,成都市锦江区水井坊街道办事处东风路 17号,104.098051,30.657541
成都市,西部战区空军医院,成都市锦江区九眼桥顺江路317号,104.100767,30.638828
成都市,四川友谊医院,成都市锦江区上沙河铺街96号,104.143351,30.618605
成都市,四川锦欣妇女儿童医院,成都市锦江区静秀路66号,104.126625,30.628114
